material Pauling_EN Sum_of_VE Mean_Atom# Mean_AtomR Atom_RR Group#_Diff Quantum#_Diff 
CuTm_group1     0.65     14     49.0     1.55     0.77     8     1
GaRu_group1     0.39     11     37.5     1.3     1.0     5     1
ZnAu_group1     0.89     23     54.5     1.35     1.0     1     0
ZnLu_group1     0.38     15     50.5     1.55     0.77     9     0
ZnYb_group1     0.55     15     50.0     1.55     0.77     9     1
ZnTm_group1     0.40     15     49.5     1.55     0.77     9     1
ZnEr_group1     0.41     15     49.0     1.55     0.77     9     1
ZnHo_group1     0.42     15     48.5     1.55     0.77     9     1
ZnDy_group1     0.43     15     48.0     1.55     0.77     9     1
ZnTb_group1     0.45     15     47.5     1.55     0.77     9     1
ZnGd_group1     0.45     15     47.0     1.575     0.75     9     1
GaRh_group1     0.47     12     38.0     1.325     0.962962963     4     1
ZnEu_group1     1.65     15     46.5     1.6     0.72972973     9     1
ZnNd_group1     0.51     15     45.0     1.6     0.72972973     9     1
ZnPr_group1     0.52     15     44.5     1.6     0.72972973     9     1
ZnCe_group1     0.53     15     44.0     1.6     0.72972973     9     1
ZnLa_group1     0.55     15     43.5     1.65     0.692307692     9     0
ZnBa_group1     0.76     14     43.0     1.75     0.627906977     10     2
ZnRh_group1     0.63     21     37.5     1.35     1.0     3     0
ZnZr_group1     0.32     16     35.0     1.45     0.870967742     8     0
ZnY_group1     0.43     15     34.5     1.575     0.75     9     0
CuEr_group1     0.66     14     48.5     1.55     0.77     8     1
CuHo_group1     0.67     14     48.0     1.55     0.77     8     1
ZnSm_group1     0.48     15     46.0     1.6     0.72972973     9     1
CuDy_group1     0.68     14     47.5     1.55     0.77     8     1
GaAg_group1     0.12     14     39.0     1.45     0.8125     2     1
BrCs_group1     2.17     8     45.0     1.875     0.44230769200000003     16     1
RuLu_group1     0.93     11     57.5     1.525     0.7428571429999999     5     0
RuYb_group1     1.1     11     57.0     1.525     0.7428571429999999     5     1
TcTa_group1     0.4     12     58.0     1.4     0.931034483     2     0
TcHf_group1     0.6     11     57.5     1.45     0.870967742     3     0
NbRu_group1     0.6     13     42.5     1.375     0.896551724     3     0
ZrPt_group1     0.95     14     59.0     1.45     0.870967742     6     0
ZrIr_group1     0.87     13     58.5     1.45     0.870967742     5     0
ZrOs_group1     0.87     12     58.0     1.425     0.838709677     4     0
ZrRh_group1     0.95     13     42.5     1.45     0.870967742     5     0
ZrRu_group1     0.87     12     42.0     1.425     0.838709677     4     0
GaIr_group1     0.39     12     54.0     1.325     0.962962963     4     1
YTl_group1     0.4     6     60.0     1.85     0.947368421     10     1
YAu_group1     1.32     14     59.0     1.575     0.75     8     0
YIr_group1     0.98     12     58.0     1.575     0.75     6     0
YCd_group1     0.47     15     43.5     1.675     0.8611111109999999     9     2
YAg_group1     0.71     14     43.0     1.7     0.8888888890000001     8     2
YRh_group1     1.06     12     42.0     1.575     0.75     6     0
SrTl_group1     0.67     5     59.5     1.95     0.95     11     1
SrHg_group1     1.05     14     59.0     1.75     0.75     10     2
SrCd_group1     0.74     14     43.0     1.775     0.775     10     0
RbAu_group1     1.72     12     58.0     1.85     0.574468085     10     2
BrTl_group1     1.34     10     58.0     1.525     0.605263158     4     0
YHg_group1     0.78     15     59.5     1.65     0.833333333     9     0
RuHf_group1     0.9     12     58.0     1.425     0.838709677     4     0
CuTb_group1     0.7     14     47.0     1.55     0.77     8     1
CuEu_group1     1.9     14     46.0     1.6     0.72972973     8     1
TiZn_group1     0.11     16     26.0     1.375     0.9642857140000001     8     0
TiNi_group1     0.37     14     25.0     1.375     0.9642857140000001     6     0
TiCo_group1     0.34     13     24.5     1.375     0.9642857140000001     5     0
TiFe_group1     0.29     12     24.0     1.4     1.0     4     0
ScHg_group1     0.64     15     50.5     1.55     0.9375     9     0
ScAu_group1     1.18     14     50.0     1.475     0.84375     8     0
ScPt_group1     0.92     13     49.5     1.475     0.84375     7     0
ScIr_group1     0.84     12     49.0     1.475     0.84375     6     0
ScSn_group1     0.6     7     35.5     1.525     0.90625     11     1
ScCd_group1     0.33     15     34.5     1.575     0.96875     9     2
TiTc_group1     0.36     11     32.5     1.375     0.9642857140000001     3     0
ScAg_group1     0.57     14     34.0     1.6     1.0     8     2
ScRh_group1     0.92     12     33.0     1.475     0.84375     6     0
ScRu_group1     0.84     11     32.5     1.45     0.8125     5     0
ScZn_group1     0.29     15     25.5     1.475     0.84375     9     0
ScCu_group1     0.54     14     25.0     1.475     0.84375     8     0
ScNi_group1     0.55     13     24.5     1.475     0.84375     7     0
ScCo_group1     0.52     12     24.0     1.475     0.84375     6     0
CaTl_group1     0.62     5     50.5     1.85     0.947368421     11     1
CaHg_group1     1.0     14     50.0     1.65     0.833333333     10     2
CaCd_group1     0.69     14     34.0     1.675     0.8611111109999999     10     0
CaPd_group1     1.2     12     33.0     1.6     0.7777777779999999     8     2
ScPd_group1     0.84     13     33.5     1.5     0.875     7     0
CuGd_group1     0.7     14     46.5     1.575     0.75     8     1
TiRu_group1     0.66     12     33.0     1.35     0.9285714290000001     4     0
TiPd_group1     0.66     14     34.0     1.4     1.0     6     0
CuSm_group1     0.73     14     45.5     1.6     0.72972973     8     1
CuZr_group1     0.57     15     34.5     1.45     0.870967742     7     0
CuY_group1     0.68     14     34.0     1.575     0.75     8     0
CuZn_group1     0.25     23     29.5     1.35     1.0     1     0
NiGa_group1     0.1     13     29.5     1.325     0.962962963     3     1
CoHf_group1     0.58     13     49.5     1.45     0.870967742     5     0
CoZr_group1     0.55     13     33.5     1.45     0.870967742     5     0
CoGa_group1     0.07     12     29.0     1.325     0.962962963     4     1
FeRh_group1     0.45     17     35.5     1.375     0.9642857140000001     1     0
FeCo_group1     0.05     17     26.5     1.375     0.9642857140000001     1     0
TiRh_group1     0.74     13     33.5     1.375     0.9642857140000001     5     0
MnHg_group1     0.45     19     52.5     1.45     0.933333333     5     0
MnRh_group1     0.73     16     35.0     1.375     0.9642857140000001     2     0
MnGa_group1     0.26     10     28.0     1.35     0.9285714290000001     6     1
MnZn_group1     0.1     19     27.5     1.375     0.9642857140000001     5     0
VOs_group1     0.57     13     49.5     1.325     0.962962963     3     0
VTc_group1     0.27     12     33.0     1.35     1.0     2     0
VMo_group1     0.53     11     32.5     1.4     0.931034483     1     0
VFe_group1     0.2     13     24.5     1.375     0.9642857140000001     3     0
VMn_group1     0.08     12     24.0     1.375     0.9642857140000001     2     0
TiOs_group1     0.66     12     49.0     1.35     0.9285714290000001     4     0
TiRe_group1     0.36     11     48.5     1.375     0.9642857140000001     3     0
MnPd_group1     0.65     17     35.5     1.4     1.0     3     0
ClTl_group1     1.54     10     49.0     1.45     0.526315789     4     0
RhIn_group1     0.5     12     47.0     1.45     0.870967742     4     1
RhGd_group1     1.08     12     54.5     1.575     0.75     6     1
GdTl_group1     0.42     6     72.5     1.85     0.947368421     10     2
GdHg_group1     0.8     15     72.0     1.65     0.833333333     9     1
GdAu_group1     1.34     14     71.5     1.575     0.75     8     1
EuTl_group1     1.62     6     72.0     1.875     0.9736842109999999     10     2
EuHg_group1     2.0     15     71.5     1.675     0.810810811     9     1
SmTl_group1     0.45     6     71.5     1.875     0.9736842109999999     10     2
SmAu_group1     1.37     14     70.5     1.6     0.72972973     8     1
NdTl_group1     0.48     6     70.5     1.875     0.9736842109999999     10     2
NdHg_group1     0.86     15     70.0     1.675     0.810810811     9     1
NdAu_group1     1.4     14     69.5     1.6     0.72972973     8     1
TbAu_group1     1.34     14     72.0     1.55     0.77     8     1
PrTl_group1     0.49     6     70.0     1.875     0.9736842109999999     10     2
PrAu_group1     1.41     14     69.0     1.6     0.72972973     8     1
CeTl_group1     0.5     6     69.5     1.875     0.9736842109999999     10     2
CeHg_group1     0.88     15     69.0     1.675     0.810810811     9     1
LaTl_group1     0.52     6     69.0     1.925     0.974358974     10     1
LaHg_group1     0.9     15     68.5     1.725     0.7692307690000001     9     0
BaHg_group1     1.11     14     68.0     1.825     0.697674419     10     2
CsAu_group1     1.75     12     67.0     1.975     0.519230769     10     2
ICs_group1     1.87     8     54.0     2.0     0.538461538     16     1
SbTl_group1     0.43     8     66.0     1.675     0.763157895     2     0
InYb_group1     0.68     6     59.5     1.65     0.8857142859999999     10     2
PrHg_group1     0.87     15     69.5     1.675     0.810810811     9     1
InTm_group1     0.53     6     59.0     1.65     0.8857142859999999     10     2
TbHg_group1     0.8     15     72.5     1.625     0.857142857     9     1
DyAu_group1     1.32     14     72.5     1.55     0.77     8     1
HfOs_group1     0.9     12     74.0     1.425     0.838709677     4     0
LuHg_group1     0.73     15     75.5     1.625     0.857142857     9     0
LuAu_group1     1.27     14     75.0     1.55     0.77     8     0
LuIr_group1     0.93     12     74.0     1.55     0.77     6     0
YbTl_group1     0.52     6     75.5     1.825     0.921052632     10     2
YbHg_group1     0.9     15     75.0     1.625     0.857142857     9     1
YbAu_group1     1.44     14     74.5     1.55     0.77     8     1
YbIr_group1     1.1     12     73.5     1.55     0.77     6     1
TmTl_group1     0.37     6     75.0     1.825     0.921052632     10     2
TmHg_group1     0.75     15     74.5     1.625     0.857142857     9     1
TbTl_group1     0.42     6     73.0     1.825     0.921052632     10     2
TmAu_group1     1.29     14     74.0     1.55     0.77     8     1
ErTl_group1     0.38     6     74.5     1.825     0.921052632     10     2
ErHg_group1     0.76     15     74.0     1.625     0.857142857     9     1
ErAu_group1     1.3     14     73.5     1.55     0.77     8     1
ErIr_group1     0.96     12     72.5     1.55     0.77     6     1
HoTl_group1     0.39     6     74.0     1.825     0.921052632     10     2
HoHg_group1     0.77     15     73.5     1.625     0.857142857     9     1
HoAu_group1     1.31     14     73.0     1.55     0.77     8     1
HoIr_group1     0.97     12     72.0     1.55     0.77     6     1
DyTl_group1     0.4     6     73.5     1.825     0.921052632     10     2
DyHg_group1     0.78     15     73.0     1.625     0.857142857     9     1
TmIr_group1     0.95     12     73.0     1.55     0.77     6     1
RhSm_group1     1.11     12     53.5     1.6     0.72972973     6     1
InEr_group1     0.54     6     58.5     1.65     0.8857142859999999     10     2
InGd_group1     0.58     6     56.5     1.675     0.8611111109999999     10     2
AgGd_group1     0.73     14     55.5     1.7     0.8888888890000001     8     3
AgSm_group1     0.76     14     54.5     1.725     0.864864865     8     3
AgNd_group1     0.79     14     53.5     1.725     0.864864865     8     3
AgPr_group1     0.8     14     53.0     1.725     0.864864865     8     3
AgCe_group1     0.81     14     52.5     1.725     0.864864865     8     3
AgLa_group1     0.83     14     52.0     1.775     0.8205128209999999     8     2
AgCd_group1     0.24     23     47.5     1.575     0.96875     1     0
PdLu_group1     0.93     13     58.5     1.575     0.8     7     0
PdYb_group1     1.1     13     58.0     1.575     0.8     7     1
PdTm_group1     0.95     13     57.5     1.575     0.8     7     1
AgTb_group1     0.73     14     56.0     1.675     0.914285714     8     3
PdEr_group1     0.96     13     57.0     1.575     0.8     7     1
PdDy_group1     0.98     13     56.0     1.575     0.8     7     1
PdIn_group1     0.42     13     47.5     1.475     0.9032258059999999     3     1
RhHf_group1     0.98     13     58.5     1.45     0.870967742     5     0
RhLu_group1     1.01     12     58.0     1.55     0.77     6     0
RhYb_group1     1.18     12     57.5     1.55     0.77     6     1
RhTm_group1     1.03     12     57.0     1.55     0.77     6     1
RhEr_group1     1.04     12     56.5     1.55     0.77     6     1
RhHo_group1     1.05     12     56.0     1.55     0.77     6     1
RhDy_group1     1.06     12     55.5     1.55     0.77     6     1
RhTb_group1     1.08     12     55.0     1.55     0.77     6     1
PdHo_group1     0.97     13     56.5     1.575     0.8     7     1
InDy_group1     0.56     6     57.5     1.65     0.8857142859999999     10     2
AgDy_group1     0.71     14     56.5     1.675     0.914285714     8     3
AgEr_group1     0.69     14     57.5     1.675     0.914285714     8     3
InSm_group1     0.61     6     55.5     1.7     0.837837838     10     2
InNd_group1     0.64     6     54.5     1.7     0.837837838     10     2
InPr_group1     0.65     6     54.0     1.7     0.837837838     10     2
InLa_group1     0.68     6     53.0     1.75     0.794871795     10     1
CdAu_group1     0.85     23     63.5     1.45     0.870967742     1     2
CdLu_group1     0.42     15     59.5     1.65     0.8857142859999999     9     2
CdYb_group1     0.59     15     59.0     1.65     0.8857142859999999     9     3
CdTm_group1     0.44     15     58.5     1.65     0.8857142859999999     9     3
CdEr_group1     0.45     15     58.0     1.65     0.8857142859999999     9     3
CdHo_group1     0.46     15     57.5     1.65     0.8857142859999999     9     3
